
epoch     iter    rate   |  top_cls_loss   reg_loss   |  fuse_cls_loss  reg_loss  |  
-------------------------------------------------------------------------------------
34.0   34   0.0500   |   0.02563   4.30265   |   1.38189   19.32497  
35.0   35   0.0500   |   0.04966   0.70971   |   0.05874   20.76844  
36.0   36   0.0500   |   0.02751   11.61516   |   1.24794   22.58260  
37.0   37   0.0500   |   0.04364   7.70397   |   0.85534   19.37410  
38.0   38   0.0500   |   0.06514   0.68922   |   0.81212   21.02001  
39.0   39   0.0500   |   0.05268   0.66980   |   0.00357   20.37458  
40.0   40   0.0500   |   0.04597   0.93928   |   0.48642   19.80700  
41.0   41   0.0500   |   0.06694   0.25822   |   0.39398   19.67313  
42.0   42   0.0500   |   0.09131   0.42400   |   1.61028   23.06227  
43.0   43   0.0500   |   0.07398   0.28931   |   0.01907   18.40085  
44.0   44   0.0500   |   0.09040   0.16741   |   4.51373   19.78661  
45.0   45   0.0500   |   0.04774   0.61131   |   1.34806   16.81443  
46.0   46   0.0500   |   0.06541   0.75502   |   0.87175   18.99929  
47.0   47   0.0500   |   0.08999   0.50261   |   0.51531   8.32309  
48.0   48   0.0500   |   0.06235   0.40003   |   0.16388   16.65326  
49.0   49   0.0500   |   0.04455   0.51652   |   0.58242   16.41474  
50.0   50   0.0500   |   0.06128   0.34563   |   0.39682   15.20198  
51.0   51   0.0500   |   0.08733   0.27199   |   0.00845   20.46234  
52.0   52   0.0500   |   0.03212   2.82068   |   0.51515   15.69543  
53.0   53   0.0500   |   0.06359   0.17451   |   0.82064   15.29931  
54.0   54   0.0500   |   0.06211   0.21019   |   0.33022   12.42095  
55.0   55   0.0500   |   0.04265   0.46820   |   0.31702   16.25152  
56.0   56   0.0500   |   0.03700   0.35574   |   0.40925   15.58170  
57.0   57   0.0500   |   0.04498   0.21237   |   0.47941   8.14627  
58.0   58   0.0500   |   0.05215   0.17881   |   0.29104   12.65558  
59.0   59   0.0500   |   0.05505   0.12668   |   0.13442   14.43161  
60.0   60   0.0500   |   0.06106   0.13572   |   0.18408   17.39294  
61.0   61   0.0500   |   0.05475   0.07039   |   0.15985   13.78161  
62.0   62   0.0500   |   0.05622   0.21148   |   0.20123   13.98850  
63.0   63   0.0500   |   0.05158   0.64831   |   0.58817   19.03538  
64.0   64   0.0500   |   0.02608   1.50969   |   0.11508   20.21900  
65.0   65   0.0500   |   0.04708   0.62090   |   1.48044   18.29243  
66.0   66   0.0500   |   0.05483   0.40475   |   0.01788   19.80421  
67.0   67   0.0500   |   0.04287   0.92962   |   0.60861   18.80925  
68.0   68   0.0500   |   0.05319   0.33758   |   0.02278   18.82374  
69.0   69   0.0500   |   0.05025   0.50340   |   1.20219   16.27523  
70.0   70   0.0500   |   0.07737   0.34608   |   1.13847   16.46143  
71.0   71   0.0500   |   0.03063   0.34937   |   0.04179   15.34746  
72.0   72   0.0500   |   0.07436   0.81905   |   0.95357   16.91921  
73.0   73   0.0500   |   0.03073   0.25658   |   0.49990   14.29938  
74.0   74   0.0500   |   0.07419   0.48111   |   1.61901   16.17427  
75.0   75   0.0500   |   0.06850   0.37326   |   0.13246   17.78515  
76.0   76   0.0500   |   0.05713   0.04234   |   0.75745   16.40921  
77.0   77   0.0500   |   0.05767   0.26587   |   1.65362   16.01770  
